popularity,danceability,energy,speechiness,acousticness,liveness,valence,release_date,song_name
[72,0.774,0.905,0.122,0.143,0.332,0.768,2022,"Talk that Talk""]"
[53,0.658,0.848,0.107,0.0909,0.0728,0.816,2022,"Queen of Hearts""]"
[50,0.779,0.795,0.215,0.24,0.126,0.587,2022,"Basics""]"
[47,0.758,0.895,0.109,0.0493,0.0539,0.551,2022,"Trouble""]"
[47,0.639,0.887,0.0482,0.0756,0.218,0.661,2022,"Brave""]"
[46,0.712,0.808,0.0814,0.317,0.0574,0.819,2022,"Gone""]"
[46,0.683,0.651,0.0786,0.352,0.114,0.534,2022,"When We Were Kids""]"
[83,0.772,0.907,0.124,0.136,0.334,0.783,2022,"Talk that Talk""]"
[67,0.666,0.847,0.106,0.102,0.0702,0.815,2022,"Queen of Hearts""]"
[69,0.778,0.8,0.227,0.254,0.139,0.585,2022,"Basics""]"
[61,0.757,0.875,0.126,0.0528,0.0427,0.571,2022,"Trouble""]"
[62,0.639,0.884,0.0483,0.0778,0.178,0.663,2022,"Brave""]"
[61,0.716,0.799,0.0755,0.327,0.0576,0.836,2022,"Gone""]"
[60,0.681,0.659,0.0813,0.34,0.109,0.537,2022,"When We Were Kids""]"
[63,0.776,0.89,0.0573,0.0628,0.0634,0.864,2022,"Celebrate""]"
[48,0.722,0.871,0.118,0.148,0.0387,0.756,2022,"Voices of Delight""]"
[49,0.737,0.789,0.073,0.11,0.303,0.607,2022,"TICK TOCK""]"
[48,0.754,0.802,0.0772,0.303,0.0734,0.844,2022,"Flow like waves""]"
[49,0.741,0.748,0.0547,0.0945,0.334,0.764,2022,"That's all I'm saying""]"
[49,0.602,0.761,0.0869,0.21,0.116,0.684,2022,"Bitter Sweet""]"
[49,0.816,0.803,0.0577,0.179,0.0522,0.883,2022,"Sandcastle""]"
[48,0.609,0.762,0.0785,0.0472,0.407,0.346,2022,"Just be yourself""]"
[62,0.693,0.586,0.0315,0.233,0.145,0.459,2022,"Doughnut""]"
[25,0.776,0.89,0.0573,0.0628,0.0634,0.864,2022,"Celebrate""]"
[11,0.722,0.871,0.118,0.148,0.0387,0.756,2022,"Voices of Delight""]"
[11,0.737,0.789,0.073,0.11,0.303,0.607,2022,"TICK TOCK""]"
[11,0.754,0.802,0.0772,0.303,0.0734,0.844,2022,"Flow like waves""]"
[11,0.741,0.748,0.0547,0.0945,0.334,0.764,2022,"That's all I'm saying""]"
[10,0.602,0.761,0.0869,0.21,0.116,0.684,2022,"Bitter Sweet""]"
[11,0.816,0.803,0.0577,0.179,0.0522,0.883,2022,"Sandcastle""]"
[16,0.618,0.756,0.0693,0.0485,0.0887,0.36,2022,"Just be yourself""]"
[19,0.688,0.583,0.033,0.206,0.147,0.456,2022,"Doughnut""]"
[58,0.786,0.858,0.0675,0.0487,0.126,0.649,2021,"SCIENTIST""]"
[45,0.807,0.704,0.071,0.0245,0.0535,0.961,2021,"MOONLIGHT""]"
[44,0.746,0.809,0.0484,0.0338,0.0756,0.816,2021,"ICON""]"
[42,0.84,0.827,0.061,0.0112,0.151,0.82,2021,"CRUEL""]"
[43,0.858,0.831,0.12,0.0977,0.0453,0.886,2021,"REAL YOU""]"
[41,0.756,0.889,0.0945,0.0921,0.196,0.653,2021,"F.I.L.A (Fall In Love Again)""]"
[43,0.799,0.772,0.105,0.213,0.0892,0.61,2021,"LAST WALTZ""]"
[42,0.656,0.851,0.215,0.065,0.141,0.752,2021,"ESPRESSO""]"
[46,0.665,0.732,0.173,0.768,0.378,0.436,2021,"REWIND""]"
[42,0.511,0.615,0.0307,0.122,0.154,0.223,2021,"CACTUS""]"
[42,0.739,0.907,0.156,0.389,0.0658,0.778,2021,"PUSH & PULL (JIHYO, SANA, DAHYUN)""]"
[44,0.813,0.638,0.122,0.0363,0.057,0.544,2021,"HELLO (NAYEON, MOMO, CHAEYOUNG)""]"
[43,0.656,0.875,0.0463,0.0799,0.222,0.708,2021,"1, 3, 2 (JEONGYEON, MINA, TZUYU)""]"
[43,0.853,0.734,0.0363,0.212,0.0671,0.78,2021,"CANDY""]"
[61,0.808,0.903,0.0729,0.0899,0.0816,0.922,2021,"The Feels""]"
[41,0.753,0.956,0.119,0.057,0.152,0.556,2021,"SCIENTIST - R3HAB Remix""]"
[34,0.786,0.858,0.0675,0.0487,0.126,0.649,2021,"SCIENTIST""]"
[18,0.807,0.704,0.071,0.0245,0.0535,0.961,2021,"MOONLIGHT""]"
[15,0.746,0.809,0.0484,0.0338,0.0756,0.816,2021,"ICON""]"
[14,0.84,0.827,0.061,0.0112,0.151,0.82,2021,"CRUEL""]"
[13,0.858,0.831,0.12,0.0977,0.0453,0.886,2021,"REAL YOU""]"
[12,0.756,0.889,0.0945,0.0921,0.196,0.653,2021,"F.I.L.A (Fall In Love Again)""]"
[17,0.799,0.772,0.105,0.213,0.0892,0.61,2021,"LAST WALTZ""]"
[13,0.656,0.851,0.215,0.065,0.141,0.752,2021,"ESPRESSO""]"
[16,0.665,0.732,0.173,0.768,0.378,0.436,2021,"�� �� �아 (REWIND)""]"
[14,0.511,0.615,0.0307,0.122,0.154,0.223,2021,"�� (CACTUS)""]"
[15,0.739,0.907,0.156,0.389,0.0658,0.778,2021,"PUSH & PULL (JIHYO, SANA, DAHYUN)""]"
[15,0.813,0.638,0.122,0.0363,0.057,0.544,2021,"HELLO (NAYEON, MOMO, CHAEYOUNG)""]"
[16,0.656,0.875,0.0463,0.0799,0.222,0.708,2021,"1, 3, 2 (JEONGYEON, MINA, TZUYU)""]"
[15,0.853,0.734,0.0363,0.212,0.0671,0.78,2021,"CANDY""]"
[35,0.808,0.903,0.0729,0.0899,0.0816,0.922,2021,"The Feels""]"
[11,0.753,0.956,0.119,0.057,0.152,0.556,2021,"SCIENTIST (R3HAB Remix)""]"
[70,0.786,0.858,0.0675,0.0487,0.126,0.649,2021,"SCIENTIST""]"
[64,0.807,0.704,0.071,0.0245,0.0535,0.961,2021,"MOONLIGHT""]"
[62,0.746,0.809,0.0484,0.0338,0.0756,0.816,2021,"ICON""]"
[58,0.84,0.827,0.061,0.0112,0.151,0.82,2021,"CRUEL""]"
[55,0.858,0.831,0.12,0.0977,0.0453,0.886,2021,"REAL YOU""]"
[57,0.756,0.889,0.0945,0.0921,0.196,0.653,2021,"F.I.L.A (Fall In Love Again)""]"
[61,0.799,0.772,0.105,0.213,0.0892,0.61,2021,"LAST WALTZ""]"
[58,0.656,0.851,0.215,0.065,0.141,0.752,2021,"ESPRESSO""]"
[64,0.665,0.732,0.173,0.768,0.378,0.436,2021,"REWIND""]"
[55,0.511,0.615,0.0307,0.122,0.154,0.223,2021,"CACTUS""]"
[58,0.739,0.907,0.156,0.389,0.0658,0.778,2021,"PUSH & PULL (JIHYO, SANA, DAHYUN)""]"
[61,0.813,0.638,0.122,0.0363,0.057,0.544,2021,"HELLO (NAYEON, MOMO, CHAEYOUNG)""]"
[58,0.656,0.875,0.0463,0.0799,0.222,0.708,2021,"1, 3, 2 (JEONGYEON, MINA, TZUYU)""]"
[56,0.853,0.734,0.0363,0.212,0.0671,0.78,2021,"CANDY""]"
[77,0.808,0.903,0.0729,0.0899,0.0816,0.922,2021,"The Feels""]"
[50,0.755,0.955,0.121,0.0576,0.186,0.622,2021,"SCIENTIST (R3HAB Remix)""]"
[66,0.684,0.877,0.0611,0.0477,0.344,0.599,2021,"Perfect World""]"
[57,0.768,0.698,0.046,0.00123,0.353,0.584,2021,"BETTER""]"
[53,0.745,0.684,0.0568,0.0513,0.117,0.37,2021,"Good at Love""]"
[55,0.669,0.956,0.126,0.0302,0.0764,0.81,2021,"Fanfare""]"
