popularity,key,release_date,song_name
[72,3,2022,"Talk that Talk"],
[53,10,2022,"Queen of Hearts"],
[50,2,2022,"Basics"],
[47,1,2022,"Trouble"],
[47,7,2022,"Brave"],
[46,5,2022,"Gone"],
[46,5,2022,"When We Were Kids"],
[83,3,2022,"Talk that Talk"],
[67,10,2022,"Queen of Hearts"],
[69,2,2022,"Basics"],
[61,1,2022,"Trouble"],
[62,7,2022,"Brave"],
[61,5,2022,"Gone"],
[60,5,2022,"When We Were Kids"],
[63,7,2022,"Celebrate"],
[48,8,2022,"Voices of Delight"],
[49,1,2022,"TICK TOCK"],
[48,4,2022,"Flow like waves"],
[49,10,2022,"That's all I'm saying"],
[49,4,2022,"Bitter Sweet"],
[49,6,2022,"Sandcastle"],
[48,9,2022,"Just be yourself"],
[62,5,2022,"Doughnut"],
[25,7,2022,"Celebrate"],
[11,8,2022,"Voices of Delight"],
[11,1,2022,"TICK TOCK"],
[11,4,2022,"Flow like waves"],
[11,10,2022,"That's all I'm saying"],
[10,4,2022,"Bitter Sweet"],
[11,6,2022,"Sandcastle"],
[16,9,2022,"Just be yourself"],
[19,5,2022,"Doughnut"],
[58,11,2021,"SCIENTIST"],
[45,5,2021,"MOONLIGHT"],
[44,6,2021,"ICON"],
[42,9,2021,"CRUEL"],
[43,9,2021,"REAL YOU"],
[41,11,2021,"F.I.L.A (Fall In Love Again)"],
[43,7,2021,"LAST WALTZ"],
[42,7,2021,"ESPRESSO"],
[46,5,2021,"REWIND"],
[42,11,2021,"CACTUS"],
[42,11,2021,"PUSH & PULL (JIHYO, SANA, DAHYUN)"],
[44,0,2021,"HELLO (NAYEON, MOMO, CHAEYOUNG)"],
[43,0,2021,"1, 3, 2 (JEONGYEON, MINA, TZUYU)"],
[43,8,2021,"CANDY"],
[61,9,2021,"The Feels"],
[41,11,2021,"SCIENTIST - R3HAB Remix"],
[34,11,2021,"SCIENTIST"],
[18,5,2021,"MOONLIGHT"],
[15,6,2021,"ICON"],
[14,9,2021,"CRUEL"],
[13,9,2021,"REAL YOU"],
[12,11,2021,"F.I.L.A (Fall In Love Again)"],
[17,7,2021,"LAST WALTZ"],
[13,7,2021,"ESPRESSO"],
[16,5,2021,"�� �� �아 (REWIND)"],
[14,11,2021,"�� (CACTUS)"],
