popularity,speechiness,acousticness,release_date,song_name
[72,0.122,0.143,2022,"Talk that Talk"],
[53,0.107,0.0909,2022,"Queen of Hearts"],
[50,0.215,0.24,2022,"Basics"],
[47,0.109,0.0493,2022,"Trouble"],
[47,0.0482,0.0756,2022,"Brave"],
[46,0.0814,0.317,2022,"Gone"],
[46,0.0786,0.352,2022,"When We Were Kids"],
[83,0.124,0.136,2022,"Talk that Talk"],
[67,0.106,0.102,2022,"Queen of Hearts"],
[69,0.227,0.254,2022,"Basics"],
[61,0.126,0.0528,2022,"Trouble"],
[62,0.0483,0.0778,2022,"Brave"],
[61,0.0755,0.327,2022,"Gone"],
[60,0.0813,0.34,2022,"When We Were Kids"],
[63,0.0573,0.0628,2022,"Celebrate"],
[48,0.118,0.148,2022,"Voices of Delight"],
[49,0.073,0.11,2022,"TICK TOCK"],
[48,0.0772,0.303,2022,"Flow like waves"],
[49,0.0547,0.0945,2022,"That's all I'm saying"],
[49,0.0869,0.21,2022,"Bitter Sweet"],
[49,0.0577,0.179,2022,"Sandcastle"],
[48,0.0785,0.0472,2022,"Just be yourself"],
[62,0.0315,0.233,2022,"Doughnut"],
[25,0.0573,0.0628,2022,"Celebrate"],
[11,0.118,0.148,2022,"Voices of Delight"],
[11,0.073,0.11,2022,"TICK TOCK"],
[11,0.0772,0.303,2022,"Flow like waves"],
[11,0.0547,0.0945,2022,"That's all I'm saying"],
[10,0.0869,0.21,2022,"Bitter Sweet"],
[11,0.0577,0.179,2022,"Sandcastle"],
[16,0.0693,0.0485,2022,"Just be yourself"],
[19,0.033,0.206,2022,"Doughnut"],
[58,0.0675,0.0487,2021,"SCIENTIST"],
[45,0.071,0.0245,2021,"MOONLIGHT"],
[44,0.0484,0.0338,2021,"ICON"],
[42,0.061,0.0112,2021,"CRUEL"],
[43,0.12,0.0977,2021,"REAL YOU"],
[41,0.0945,0.0921,2021,"F.I.L.A (Fall In Love Again)"],
[43,0.105,0.213,2021,"LAST WALTZ"],
[42,0.215,0.065,2021,"ESPRESSO"],
[46,0.173,0.768,2021,"REWIND"],
[42,0.0307,0.122,2021,"CACTUS"],
[42,0.156,0.389,2021,"PUSH & PULL (JIHYO"],
[44,0.122,0.0363,2021,"HELLO (NAYEON"],
[43,0.0463,0.0799,2021,"1"],
[43,0.0363,0.212,2021,"CANDY"],
