,popularity,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name
0,72,0.774,0.905,3,0.122,0.143,0.0,0.332,0.768,119.964,177467,4,TWICE,2022-08-26,Talk that Talk
1,53,0.658,0.848,10,0.107,0.0909,0.0,0.0728,0.816,149.932,186947,4,TWICE,2022-08-26,Queen of Hearts
2,50,0.779,0.795,2,0.215,0.24,0.0,0.126,0.587,138.017,176973,4,TWICE,2022-08-26,Basics
3,47,0.758,0.895,1,0.109,0.0493,0.0,0.0539,0.551,122.962,215400,4,TWICE,2022-08-26,Trouble
4,47,0.639,0.887,7,0.0482,0.0756,0.0,0.218,0.661,131.97,189200,4,TWICE,2022-08-26,Brave
5,46,0.712,0.808,5,0.0814,0.317,0.0,0.0574,0.819,159.887,195000,4,TWICE,2022-08-26,Gone
6,46,0.683,0.651,5,0.0786,0.352,0.0,0.114,0.534,136.944,189347,4,TWICE,2022-08-26,When We Were Kids
7,83,0.772,0.907,3,0.124,0.136,0.0,0.334,0.783,119.973,177467,4,TWICE,2022-08-26,Talk that Talk
8,67,0.666,0.847,10,0.106,0.102,0.0,0.0702,0.815,149.94,186947,4,TWICE,2022-08-26,Queen of Hearts
9,69,0.778,0.8,2,0.227,0.254,0.0,0.139,0.585,137.997,176973,4,TWICE,2022-08-26,Basics
10,61,0.757,0.875,1,0.126,0.0528,0.0,0.0427,0.571,122.946,215400,4,TWICE,2022-08-26,Trouble
11,62,0.639,0.884,7,0.0483,0.0778,0.0,0.178,0.663,131.963,189200,4,TWICE,2022-08-26,Brave
12,61,0.716,0.799,5,0.0755,0.327,0.0,0.0576,0.836,159.886,195000,4,TWICE,2022-08-26,Gone
13,60,0.681,0.659,5,0.0813,0.34,0.0,0.109,0.537,136.968,189347,4,TWICE,2022-08-26,When We Were Kids
14,63,0.776,0.89,7,0.0573,0.0628,0.0,0.0634,0.864,111.998,188433,4,TWICE,2022-07-27,Celebrate
15,48,0.722,0.871,8,0.118,0.148,0.0,0.0387,0.756,103.999,183989,4,TWICE,2022-07-27,Voices of Delight
16,49,0.737,0.789,1,0.073,0.11,0.0,0.303,0.607,114.968,183340,4,TWICE,2022-07-27,TICK TOCK
17,48,0.754,0.802,4,0.0772,0.303,0.0,0.0734,0.844,109.981,213340,4,TWICE,2022-07-27,Flow like waves
18,49,0.741,0.748,10,0.0547,0.0945,1.05e-05,0.334,0.764,104.04,182033,4,TWICE,2022-07-27,That's all I'm saying
19,49,0.602,0.761,4,0.0869,0.21,0.0,0.116,0.684,168.041,210867,4,TWICE,2022-07-27,Bitter Sweet
20,49,0.816,0.803,6,0.0577,0.179,0.0,0.0522,0.883,100.034,192167,4,TWICE,2022-07-27,Sandcastle
21,48,0.609,0.762,9,0.0785,0.0472,0.0,0.407,0.346,105.039,200213,4,TWICE,2022-07-27,Just be yourself
22,62,0.693,0.586,5,0.0315,0.233,0.0,0.145,0.459,82.039,263680,4,TWICE,2022-07-27,Doughnut
23,25,0.776,0.89,7,0.0573,0.0628,0.0,0.0634,0.864,111.998,188433,4,TWICE,2022-07-27,Celebrate
24,11,0.722,0.871,8,0.118,0.148,0.0,0.0387,0.756,103.999,183989,4,TWICE,2022-07-27,Voices of Delight
25,11,0.737,0.789,1,0.073,0.11,0.0,0.303,0.607,114.968,183340,4,TWICE,2022-07-27,TICK TOCK
26,10,0.754,0.802,4,0.0772,0.303,0.0,0.0734,0.844,109.981,213340,4,TWICE,2022-07-27,Flow like waves
27,11,0.741,0.748,10,0.0547,0.0945,1.05e-05,0.334,0.764,104.04,182033,4,TWICE,2022-07-27,That's all I'm saying
28,10,0.602,0.761,4,0.0869,0.21,0.0,0.116,0.684,168.041,210867,4,TWICE,2022-07-27,Bitter Sweet
29,10,0.816,0.803,6,0.0577,0.179,0.0,0.0522,0.883,100.034,192167,4,TWICE,2022-07-27,Sandcastle
30,16,0.618,0.756,9,0.0693,0.0485,0.0,0.0887,0.36,105.01,202414,4,TWICE,2022-07-27,Just be yourself
31,19,0.688,0.583,5,0.033,0.206,0.0,0.147,0.456,82.004,266450,4,TWICE,2022-07-27,Doughnut
32,58,0.786,0.858,11,0.0675,0.0487,0.0,0.126,0.649,112.999,194600,4,TWICE,2021-11-12,SCIENTIST
33,45,0.807,0.704,5,0.071,0.0245,0.0,0.0535,0.961,115.995,219387,4,TWICE,2021-11-12,MOONLIGHT
34,44,0.746,0.809,6,0.0484,0.0338,0.0,0.0756,0.816,149.984,176160,4,TWICE,2021-11-12,ICON
35,42,0.84,0.827,9,0.061,0.0112,0.0,0.151,0.82,124.989,211427,4,TWICE,2021-11-12,CRUEL
36,43,0.858,0.831,9,0.12,0.0977,0.0,0.0453,0.886,119.975,187933,4,TWICE,2021-11-12,REAL YOU
37,41,0.756,0.889,11,0.0945,0.0921,0.0,0.196,0.653,117.971,191253,4,TWICE,2021-11-12,F.I.L.A (Fall In Love Again)
38,43,0.799,0.772,7,0.105,0.213,0.0,0.0892,0.61,141.968,170560,4,TWICE,2021-11-12,LAST WALTZ
39,43,0.656,0.851,7,0.215,0.065,0.0,0.141,0.752,93.208,187800,4,TWICE,2021-11-12,ESPRESSO
