popularity,liveness,valence,tempo,duration_ms,release_date,release_dates,release_dates
[50,0.167,0.701,88.497,175200,2016/10/24,"2016/10/24","2016/10/24"],
[40,0.846,0.776,161.914,206187,2016/10/24,"2016/10/24","2016/10/24"],
[47,0.325,0.884,163.936,210627,2016/10/24,"2016/10/24","2016/10/24"],
[41,0.318,0.612,178.034,207507,2016/10/24,"2016/10/24","2016/10/24"],
[41,0.653,0.676,93.017,175947,2016/10/24,"2016/10/24","2016/10/24"],
[54,0.226,0.421,90.027,175307,2016/10/24,"2016/10/24","2016/10/24"],
[68,0.399,0.396,129.946,212987,"2016/10/24","2016/10/24","2016/10/24"],
[62,0.0587,0.473,129.971,195747,2017/2/20,"2017/2/20","2017/2/20"],
[50,0.113,0.235,123.936,232067,2017/2/20,"2017/2/20","2017/2/20"],
[47,0.434,0.35,129.929,212987,2017/2/20,"2017/2/20","2017/2/20"],
[36,0.166,0.735,89.02,175200,2017/2/20,"2017/2/20","2017/2/20"],
[30,0.79,0.815,161.841,206187,2017/2/20,"2017/2/20","2017/2/20"],
[34,0.324,0.849,163.939,210627,2017/2/20,"2017/2/20","2017/2/20"],
[31,0.291,0.582,178.05,207507,2017/2/20,"2017/2/20","2017/2/20"],
[31,0.623,0.662,93.019,175947,2017/2/20,"2017/2/20","2017/2/20"],
[37,0.199,0.45,89.948,175280,2017/2/20,"2017/2/20","2017/2/20"],
[51,0.0586,0.476,129.972,195753,2017/2/21,"2017/2/21","2017/2/21"],
[36,0.114,0.229,123.944,232067,2017/2/21,"2017/2/21","2017/2/21"],
[51,0.399,0.399,129.946,212991,2017/2/21,"2017/2/21","2017/2/21"],
[39,0.16,0.742,88.428,175200,2017/2/21,"2017/2/21","2017/2/21"],
[25,0.751,0.827,161.905,206187,2017/2/21,"2017/2/21","2017/2/21"],
[41,0.343,0.855,163.929,210627,2017/2/21,"2017/2/21","2017/2/21"],
[30,0.293,0.587,89.008,207507,2017/2/21,"2017/2/21","2017/2/21"],
[27,0.655,0.68,93.008,175947,2017/2/21,"2017/2/21","2017/2/21"],
[45,0.204,0.424,89.87,175256,2017/2/21,"2017/2/21","2017/2/21"],
[38,0.399,0.399,129.946,212991,2017/2/24,"2017/2/24","2017/2/24"],
[31,0.16,0.742,88.428,175200,2017/2/24,"2017/2/24","2017/2/24"],
[24,0.751,0.827,161.905,206187,2017/2/24,"2017/2/24","2017/2/24"],
[30,0.343,0.855,163.929,210627,2017/2/24,"2017/2/24","2017/2/24"],
[26,0.293,0.587,89.008,207507,2017/2/24,"2017/2/24","2017/2/24"],
[25,0.655,0.68,93.008,175947,2017/2/24,"2017/2/24","2017/2/24"],
[35,0.204,0.424,89.87,175256,2017/2/24,"2017/2/24","2017/2/24"],
[68,0.118,0.443,132.006,207813,2017/10/30,"2017/10/30","2017/10/30"],
[52,0.142,0.615,94.985,198040,2017/10/30,"2017/10/30","2017/10/30"],
[45,0.108,0.856,119.966,179707,2017/10/30,"2017/10/30","2017/10/30"],
[39,0.0532,0.928,160.124,180960,2017/10/30,"2017/10/30","2017/10/30"],
[41,0.299,0.916,127.967,225987,2017/10/30,"2017/10/30","2017/10/30"],
[39,0.24,0.811,150.015,212120,2017/10/30,"2017/10/30","2017/10/30"],
[44,0.404,0.531,123.064,215480,2017/10/30,"2017/10/30","2017/10/30"],
[48,0.0655,0.665,134.892,193147,2017/10/30,"2017/10/30","2017/10/30"],
[48,0.28,0.244,122.023,190893,2017/10/30,"2017/10/30","2017/10/30"],
[45,0.108,0.518,94.998,196800,2017/10/30,"2017/10/30","2017/10/30"],
[39,0.132,0.452,102.992,178347,2017/10/30,"2017/10/30","2017/10/30"],
[44,0.109,0.392,102.997,208867,2017/10/30,"2017/10/30","2017/10/30"],
[47,0.0887,0.356,133.945,262960,2017/10/30,"2017/10/30","2017/10/30"],
[28,0.129,0.437,132.013,207824,2017/10/30,"2017/10/30","2017/10/30"],
[17,0.135,0.596,95.015,198034,2017/10/30,"2017/10/30","2017/10/30"],
[8,0.113,0.855,119.96,179711,2017/10/30,"2017/10/30","2017/10/30"],
[6,0.0534,0.921,160.032,180962,2017/10/30,"2017/10/30","2017/10/30"],
[6,0.295,0.906,127.98,225984,2017/10/30,"2017/10/30","2017/10/30"],
[5,0.126,0.823,150.011,212117,2017/10/30,"2017/10/30","2017/10/30"],
[7,0.385,0.536,123.049,215485,2017/10/30,"2017/10/30","2017/10/30"],
[9,0.0638,0.631,134.91,193144,2017/10/30,"2017/10/30","2017/10/30"],
[7,0.279,0.245,122.008,190898,2017/10/30,"2017/10/30","2017/10/30"],
[6,0.108,0.504,95.001,196796,2017/10/30,"2017/10/30","2017/10/30"],
[5,0.121,0.422,102.994,178344,2017/10/30,"2017/10/30","2017/10/30"],
[8,0.109,0.406,103.001,208868,2017/10/30,"2017/10/30","2017/10/30"],
[7,0.0969,0.376,133.949,262922,2017/10/30,"2017/10/30","2017/10/30"],
[52,0.136,0.394,131.96,207824,2017/11/1,"2017/11/1","2017/11/1"],
[41,0.15,0.609,95.139,198034,2017/11/1,"2017/11/1","2017/11/1"],
[32,0.112,0.833,119.995,179711,2017/11/1,"2017/11/1","2017/11/1"],
[25,0.0537,0.909,160.092,180962,2017/11/1,"2017/11/1","2017/11/1"],
[27,0.282,0.895,127.984,225984,2017/11/1,"2017/11/1","2017/11/1"],
[25,0.233,0.824,149.998,212117,2017/11/1,"2017/11/1","2017/11/1"],
[29,0.401,0.558,123.072,215485,2017/11/1,"2017/11/1","2017/11/1"],
[36,0.0675,0.662,134.898,193144,2017/11/1,"2017/11/1","2017/11/1"],
[29,0.273,0.272,122.014,190898,2017/11/1,"2017/11/1","2017/11/1"],
[31,0.11,0.542,95.019,196796,2017/11/1,"2017/11/1","2017/11/1"],
[25,0.124,0.414,102.982,178344,2017/11/1,"2017/11/1","2017/11/1"],
[34,0.109,0.382,102.988,208868,2017/11/1,"2017/11/1","2017/11/1"],
[30,0.0911,0.359,133.979,262922,2017/11/1,"2017/11/1","2017/11/1"],
[54,0.216,0.865,164.077,186896,2017/12/11,"2017/12/11","2017/12/11"],
[55,0.0822,0.658,154.026,192571,2017/12/11,"2017/12/11","2017/12/11"],
[31,0.136,0.394,131.96,207824,2017/12/11,"2017/12/11","2017/12/11"],
[28,0.15,0.609,95.139,198034,2017/12/11,"2017/12/11","2017/12/11"],
[26,0.112,0.833,119.995,179711,2017/12/11,"2017/12/11","2017/12/11"],
[21,0.0537,0.909,160.092,180962,2017/12/11,"2017/12/11","2017/12/11"],
[22,0.282,0.895,127.984,225984,2017/12/11,"2017/12/11","2017/12/11"],
[21,0.233,0.824,149.998,212117,2017/12/11,"2017/12/11","2017/12/11"],
[23,0.401,0.558,123.072,215485,2017/12/11,"2017/12/11","2017/12/11"],
[24,0.0675,0.662,134.898,193144,2017/12/11,"2017/12/11","2017/12/11"],
[22,0.273,0.272,122.014,190898,2017/12/11,"2017/12/11","2017/12/11"],
[21,0.11,0.542,95.019,196796,2017/12/11,"2017/12/11","2017/12/11"],
[21,0.124,0.414,102.982,178344,2017/12/11,"2017/12/11","2017/12/11"],
[25,0.109,0.382,102.988,208868,2017/12/11,"2017/12/11","2017/12/11"],
