,danceability
0,0.774
1,0.658
2,0.779
3,0.758
4,0.639
5,0.712
6,0.683
7,0.772
8,0.666
9,0.778
10,0.757
11,0.639
12,0.716
13,0.681
14,0.776
15,0.722
16,0.737
17,0.754
18,0.741
19,0.602
20,0.816
21,0.609
22,0.693
23,0.776
24,0.722
25,0.737
26,0.754
27,0.741
28,0.602
29,0.816
30,0.618
31,0.688
32,0.786
33,0.807
34,0.746
35,0.84
36,0.858
37,0.756
38,0.799
39,0.656
40,0.665
41,0.511
42,0.739
43,0.813
44,0.656
45,0.853
46,0.808
47,0.753
48,0.786
49,0.807
50,0.746
51,0.84
52,0.858
53,0.756
54,0.799
55,0.656
56,0.665
57,0.511
58,0.739
59,0.813
60,0.656
61,0.853
62,0.808
63,0.753
64,0.786
65,0.807
66,0.746
67,0.84
68,0.858
69,0.756
70,0.799
71,0.656
72,0.665
73,0.511
74,0.739
75,0.813
76,0.656
77,0.853
78,0.808
79,0.755
80,0.684
81,0.768
82,0.745
83,0.669
84,0.734
85,0.806
86,0.792
87,0.763
88,0.568
89,0.581
90,0.678
91,0.767
92,0.745
93,0.675
94,0.736
95,0.806
96,0.792
97,0.763
98,0.568
99,0.581
100,0.657
101,0.8
102,0.709
103,0.78
104,0.842
105,0.669
106,0.629
107,0.791
108,0.79
109,0.509
110,0.676
111,0.713
112,0.362
113,0.657
114,0.8
115,0.709
116,0.78
117,0.842
118,0.669
119,0.629
120,0.791
121,0.79
122,0.509
123,0.676
124,0.713
125,0.362
126,0.739
127,0.775
128,0.7
129,0.818
130,0.696
131,0.516
132,0.707
133,0.739
134,0.775
135,0.7
136,0.818
137,0.696
138,0.516
139,0.707
140,0.709
141,0.678
142,0.832
143,0.868
144,0.832
145,0.609
146,0.754
147,0.854
148,0.642
149,0.677
150,0.657
151,0.709
152,0.678
153,0.832
154,0.868
155,0.832
156,0.609
157,0.754
158,0.854
159,0.642
160,0.677
161,0.657
162,0.678
163,0.832
164,0.868
165,0.832
166,0.609
167,0.754
168,0.854
169,0.642
170,0.677
171,0.657
172,0.678
173,0.832
174,0.868
175,0.832
176,0.609
177,0.754
178,0.854
179,0.642
180,0.677
181,0.657
182,0.709
183,0.776
184,0.727
185,0.756
186,0.72
187,0.654
188,0.866
189,0.708
190,0.771
191,0.729
192,0.752
193,0.721
194,0.531
195,0.865
196,0.706
197,0.715
198,0.74
199,0.599
200,0.806
201,0.516
202,0.751
203,0.656
204,0.674
205,0.613
206,0.713
207,0.72
208,0.671
209,0.702
210,0.79
211,0.696
212,0.583
213,0.535
214,0.692
215,0.722
216,0.72
217,0.671
218,0.706
219,0.792
220,0.698
221,0.786
222,0.524
223,0.451
224,0.727
225,0.702
226,0.79
227,0.696
228,0.583
229,0.535
230,0.692
231,0.722
232,0.702
233,0.792
234,0.694
235,0.803
236,0.519
237,0.415
238,0.731
239,0.715
240,0.74
241,0.599
242,0.806
243,0.516
244,0.751
245,0.656
246,0.674
247,0.613
248,0.713
249,0.711
250,0.782
251,0.671
252,0.573
253,0.673
254,0.765
255,0.65
256,0.625
257,0.563
258,0.709
259,0.786
260,0.669
261,0.574
262,0.677
263,0.766
264,0.637
265,0.634
266,0.564
267,0.563
268,0.709
269,0.723
270,0.729
271,0.805
272,0.776
273,0.71
274,0.658
275,0.879
276,0.72
277,0.886
278,0.696
279,0.838
280,0.692
281,0.721
282,0.564
283,0.716
284,0.72
285,0.729
286,0.808
287,0.775
288,0.711
289,0.661
290,0.877
291,0.719
292,0.883
293,0.692
294,0.828
295,0.689
296,0.723
297,0.565
298,0.709
299,0.717
300,0.726
301,0.806
302,0.775
303,0.705
304,0.662
305,0.876
306,0.719
307,0.887
308,0.696
309,0.84
310,0.686
311,0.718
312,0.723
313,0.729
314,0.805
315,0.776
316,0.71
317,0.658
318,0.879
319,0.72
320,0.886
321,0.696
322,0.838
323,0.692
324,0.721
325,0.717
326,0.726
327,0.806
328,0.775
329,0.705
330,0.662
331,0.876
332,0.719
333,0.887
334,0.696
335,0.84
336,0.686
337,0.718
338,0.723
339,0.741
340,0.807
341,0.776
342,0.707
343,0.661
344,0.878
345,0.719
346,0.882
347,0.697
348,0.839
349,0.687
350,0.72
351,0.708
352,0.621
353,0.516
354,0.703
355,0.741
356,0.685
357,0.599
358,0.673
359,0.654
360,0.708
361,0.621
362,0.516
363,0.703
364,0.741
365,0.685
366,0.599
367,0.672
368,0.656
369,0.713
370,0.718
371,0.507
372,0.704
373,0.664
374,0.686
375,0.599
376,0.708
377,0.621
378,0.516
379,0.705
380,0.662
381,0.687
382,0.601
383,0.773
384,0.665
385,0.782
386,0.756
387,0.637
388,0.714
389,0.681
390,0.776
391,0.609
392,0.652
393,0.709
394,0.683
395,0.791
396,0.791
397,0.795
398,0.808
399,0.777
400,0.78
401,0.816
402,0.835
403,0.819
404,0.781
405,0.76
406,0.693
407,0.611
408,0.624
409,0.568
410,0.693
411,0.611
412,0.624
413,0.568
414,0.693
415,0.796
416,0.808
417,0.777
418,0.78
419,0.816
420,0.834
421,0.818
422,0.781
423,0.758
424,0.793
425,0.808
426,0.777
427,0.78
428,0.816
429,0.835
430,0.817
431,0.781
432,0.76
433,0.808
434,0.777
435,0.78
436,0.816
437,0.818
438,0.781
439,0.808
440,0.777
441,0.78
442,0.816
443,0.819
444,0.781
